ID,Start time,Completion time,Email,Name,Last modified time,Yaşınız,Cinsiyet,Eğitim Durumunuz,Aylık Ortalama Gelir Düzeyiniz,Güncel Çalışma Durumunuz,Şans oyunlarını ne sıklıkla oynarsınız?,"Oynadığınız oyunlarda ne sıklıkla kazanç yakalarsınız?
","Bugüne kadarki şans oyunu deneyiminizi düşündüğünüzde, genel maddi durumunuz nedir?","Şans oyunlarından (son 6-12 ay içerisindeki) tahmini toplam kazanç miktarınız hangi aralıktadır?
","Şans oyunlarından kazanç elde ettiğinizde, bu parayı genellikle nasıl değerlendirirsiniz?",En sık hangi tür oyunları tercih ediyorsunuz ?,Kaç yıldır şans oyunları/kumar ile ilgileniyorsunuz ?,Şans oyunlarında kazanmam büyük ölçüde şansa bağlıdır.,Doğru strateji kurarsam şans oyunlarında kazanma ihtimalim artar.,Kazandığımda bunun nedeni genellikle doğru hamleler yapmamdır. ,Yakın çevremde (arkadaş/aile) şans oyunlarından düzenli kazanan kişiler vardır.,Para kazanmak için uzun saatler çalışmak gerekir. ,Hayatta başarı ancak sabırlı ve disiplinli çalışmayla elde edilir.,Emek harcanmadan kazanılan paranın benim gözümde değeri düşüktür. ,"Çalışmadan elde edilen hızlı kazançlar (piyango vb.), insanın çalışma disiplinini bozar."," Bir işi başarmak için harcanan zaman ve ter, sonucun kendisinden daha değerlidir."
30,1/10/26 18:01:11,1/10/26 18:03:12,anonymous,,,23,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 yıldan az,5,4,5,5,5,3,2,5,3
31,1/10/26 18:01:56,1/10/26 18:03:33,anonymous,,,25,Erkek,Lisans,60.001 - 100.000 TL,Tam Zamanlı Çalışıyorum,Ayda 1'den az / Çok nadir,Oynadığımda neredeyse hiç kazanmam (%0-10),Zarardayım (Kaybettiğim miktar daha fazla),30.000 TL üzeri,Doğrudan tekrar şans oyunlarına/bahise yatırırım,"Yeni Nesil Hızlı Oyunlar (Aviator, Zeppelin, Spaceman vb.)",1 yıldan az,1,1,1,3,1,2,1,5,1
32,1/10/26 18:02:16,1/10/26 18:03:58,anonymous,,,23,Erkek,Lisans,23.001 - 35.000 TL,Hem Çalışıyor Hem Okuyorum,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,2,4,4,4,3,4,5,5,1
33,1/10/26 18:01:59,1/10/26 18:05:20,anonymous,,,21,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),5.001 - 15.000 TL,Doğrudan tekrar şans oyunlarına/bahise yatırırım,"Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",3- 5 yıl,3,1,1,3,3,5,4,4,5
34,1/10/26 18:02:47,1/10/26 18:05:28,anonymous,,,25,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1-3 kez,Ara sıra kazanırım (Yarı yarıya diyebilirim),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",15.001 - 30.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 - 3 yıl,3,4,3,2,5,5,1,3,3
35,1/10/26 18:03:57,1/10/26 18:06:31,anonymous,,,22,Erkek,Lisans,0 - 23.000 TL,Hem Çalışıyor Hem Okuyorum,Haftada birkaç kez,Sık kazanırım (Genelde boş geçmem),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",30.000 TL üzeri,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,3,4,4,3,4,5,4,5,5
36,1/10/26 18:13:27,1/10/26 18:14:14,anonymous,,,23,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1-3 kez,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),15.001 - 30.000 TL,Biriktiririm / Yatırım yaparım,"Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,5,5,5,5,5,5,5,5,5
37,1/10/26 18:12:01,1/10/26 18:14:22,anonymous,,,23,Erkek,Lisansüstü (Yüksek Lisans/Doktora) ,100.000 TL üzeri,Hem Çalışıyor Hem Okuyorum,Ayda 1'den az / Çok nadir,Sık kazanırım (Genelde boş geçmem),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",30.000 TL üzeri,Biriktiririm / Yatırım yaparım,"Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",5 yıldan fazla,4,3,2,1,2,4,5,5,3
38,1/10/26 18:13:36,1/10/26 18:15:13,anonymous,,,23,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),0 - 1.000 TL,Doğrudan tekrar şans oyunlarına/bahise yatırırım,"Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 yıldan az,5,3,2,1,4,4,3,2,4
39,1/10/26 18:14:14,1/10/26 18:15:49,anonymous,,,21,Erkek,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Ara sıra kazanırım (Yarı yarıya diyebilirim),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",5.001 - 15.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 - 3 yıl,4,4,4,4,2,3,3,2,5
40,1/10/26 18:14:36,1/10/26 18:16:21,anonymous,,,21,Erkek,Lisans,35.001 - 60.000 TL,Hem Çalışıyor Hem Okuyorum,Her gün,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),30.000 TL üzeri,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",3- 5 yıl,4,5,4,4,2,3,2,4,4
41,1/10/26 18:14:39,1/10/26 18:16:46,anonymous,,,23,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Ara sıra kazanırım (Yarı yarıya diyebilirim),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 yıldan az,5,1,1,2,5,5,1,1,1
42,1/10/26 18:16:23,1/10/26 18:18:03,anonymous,,,24,Erkek,Lisans,23.001 - 35.000 TL,Tam Zamanlı Çalışıyorum,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Klasik Şans Oyunları (Milli Piyango, Sayısal Loto, Kazı Kazan)",5 yıldan fazla,5,1,1,3,3,5,3,2,5
43,1/10/26 18:22:02,1/10/26 18:23:39,anonymous,,,23,Erkek,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Haftada 1 kez,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),30.000 TL üzeri,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,4,2,3,1,5,5,1,5,5
44,1/10/26 18:26:01,1/10/26 18:27:54,anonymous,,,21,Kadın,Lisans,100.000 TL üzeri,Sadece Öğrenciyim,Ayda 1-3 kez,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),5.001 - 15.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 - 3 yıl,5,1,1,5,3,2,5,5,5
45,1/10/26 18:26:14,1/10/26 18:28:16,anonymous,,,24,Erkek,Lisans,35.001 - 60.000 TL,Hem Çalışıyor Hem Okuyorum,Ayda 1'den az / Çok nadir,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),1.001 - 5.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 - 3 yıl,3,2,4,1,3,1,4,4,4
46,1/10/26 18:29:27,1/10/26 18:30:59,anonymous,,,24,Kadın,Ön Lisans (MYO),0 - 23.000 TL,Hem Çalışıyor Hem Okuyorum,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 yıldan az,5,1,1,1,5,5,3,1,5
47,1/10/26 18:29:28,1/10/26 18:31:38,anonymous,,,24,Erkek,Ön Lisans (MYO),60.001 - 100.000 TL,Hem Çalışıyor Hem Okuyorum,Haftada 1 kez,Sık kazanırım (Genelde boş geçmem),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",15.001 - 30.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 - 3 yıl,2,5,5,3,1,3,1,5,3
48,1/10/26 18:31:30,1/10/26 18:32:42,anonymous,,,21,Erkek,Ön Lisans (MYO),0 - 23.000 TL,Sadece Öğrenciyim,Her gün,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),30.000 TL üzeri,"Temel ihtiyaçlarım (kira, fatura, market) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 - 3 yıl,5,1,5,5,1,1,1,5,1
49,1/10/26 18:33:35,1/10/26 18:37:10,anonymous,,,20,Kadın,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Her gün,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),30.000 TL üzeri,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 yıldan az,4,5,4,5,2,4,1,4,5
50,1/10/26 18:43:09,1/10/26 18:44:51,anonymous,,,23,Erkek,Lisans,60.001 - 100.000 TL,Hem Çalışıyor Hem Okuyorum,Ayda 1'den az / Çok nadir,Oynadığımda neredeyse hiç kazanmam (%0-10),Zarardayım (Kaybettiğim miktar daha fazla),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",3- 5 yıl,5,1,1,1,1,5,1,5,1
51,1/10/26 18:50:52,1/10/26 18:52:51,anonymous,,,24,Kadın,Ön Lisans (MYO),23.001 - 35.000 TL,Tam Zamanlı Çalışıyorum,Ayda 1'den az / Çok nadir,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),5.001 - 15.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",3- 5 yıl,5,3,2,2,3,5,4,5,5
52,1/10/26 18:50:47,1/10/26 18:53:24,anonymous,,,23,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Sık kazanırım (Genelde boş geçmem),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",30.000 TL üzeri,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 - 3 yıl,5,3,3,2,4,4,3,2,3
53,1/10/26 19:14:21,1/10/26 19:15:42,anonymous,,,24,Kadın,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",3- 5 yıl,2,3,2,1,5,3,5,5,5
54,1/10/26 19:16:03,1/10/26 19:17:16,anonymous,,,22,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Her gün,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),30.000 TL üzeri,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",5 yıldan fazla,1,1,3,2,5,5,5,5,5
55,1/10/26 19:17:06,1/10/26 19:19:02,anonymous,,,20,Kadın,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Ayda 1-3 kez,Sık kazanırım (Genelde boş geçmem),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),30.000 TL üzeri,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 - 3 yıl,5,2,3,5,4,4,5,5,3
56,1/10/26 19:29:48,1/10/26 19:32:14,anonymous,,,30,Erkek,Lisansüstü (Yüksek Lisans/Doktora) ,60.001 - 100.000 TL,Tam Zamanlı Çalışıyorum,Ayda 1'den az / Çok nadir,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),15.001 - 30.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",5 yıldan fazla,5,1,5,2,5,5,5,3,2
57,1/10/26 19:32:59,1/10/26 19:34:47,anonymous,,,24,Erkek,Ön Lisans (MYO),35.001 - 60.000 TL,Tam Zamanlı Çalışıyorum,Ayda 1'den az / Çok nadir,Oynadığımda neredeyse hiç kazanmam (%0-10),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),1.001 - 5.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 yıldan az,5,1,1,1,5,5,5,5,5
58,1/10/26 19:36:48,1/10/26 19:38:29,anonymous,,,24,Erkek,Lisansüstü (Yüksek Lisans/Doktora) ,100.000 TL üzeri,Tam Zamanlı Çalışıyorum,Haftada birkaç kez,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),30.000 TL üzeri,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,2,5,5,3,5,2,3,1,3
59,1/10/26 19:40:08,1/10/26 19:41:47,anonymous,,,21,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Her gün,Nadiren kazanırım (%20-30),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),5.001 - 15.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 yıldan az,5,3,2,4,3,3,1,1,1
60,1/10/26 19:40:00,1/10/26 19:42:10,anonymous,,,20,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1-3 kez,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),1.001 - 5.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 - 3 yıl,2,3,5,5,4,4,5,5,5
61,1/10/26 19:38:05,1/10/26 19:42:13,anonymous,,,21,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,4,3,2,1,3,3,1,4,2
62,1/10/26 19:43:39,1/10/26 19:45:52,anonymous,,,21,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Haftada 1 kez,Ara sıra kazanırım (Yarı yarıya diyebilirim),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",5.001 - 15.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 - 3 yıl,3,4,3,5,4,4,1,5,4
63,1/10/26 19:44:58,1/10/26 19:47:35,anonymous,,,19,Erkek,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 - 3 yıl,3,3,2,4,3,3,1,4,2
64,1/10/26 20:19:01,1/10/26 20:20:44,anonymous,,,25,Erkek,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Haftada 1 kez,Ara sıra kazanırım (Yarı yarıya diyebilirim),Zarardayım (Kaybettiğim miktar daha fazla),0 - 1.000 TL,Doğrudan tekrar şans oyunlarına/bahise yatırırım,"Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",3- 5 yıl,4,4,4,4,4,4,2,2,2
